point...1,cri_lb...2,cri_ub...3,sd...4,n_eff...5,mc_lb...6,mc_ub...7,point...8,cri_lb...9,cri_ub...10,sd...11,n_eff...12,mc_lb...13,mc_ub...14
0.333,0.305,0.361,0.014,2025.29,0.333,0.333,1.454,1.303,1.602,0.077,1857.165,1.454,1.454
0.334,0.306,0.363,0.015,2168.362,0.334,0.334,1.459,1.307,1.619,0.08,2111.636,1.459,1.459
0.333,0.305,0.363,0.015,2331.487,0.333,0.333,1.457,1.303,1.609,0.078,2311.187,1.457,1.457
0.453,0.383,0.524,0.036,2229.759,0.453,0.453,0.087,0.05,0.136,0.022,501.434,0.087,0.087
0.306,0.241,0.377,0.034,1853.122,0.306,0.306,0.059,0.032,0.096,0.017,449.025,0.059,0.059
0.241,0.181,0.306,0.031,2377.261,0.241,0.241,0.046,0.026,0.077,0.014,534.841,0.046,0.046
